Unnamed: 0,affiliation,email,citedby,scholar_id,filled,interests,name,url_picture,citedby5y,hindex,hindex5y,i10index,i10index5y,got_publications,got_coauthors
30482,Seoul National University,@snu.ac.kr,6156,dEdyEc0AAAAJ,{'indices'},Machine Learning|Data mining,sungzoon cho,https://scholar.google.com/citations?view_op=medium_photo&user=dEdyEc0AAAAJ,3042,42,28,92,56,0,1
30483,North Carolina State University,@csc.ncsu.edu,6144,vukA8JAAAAAJ,{'indices'},Data Analytics|Data Mining|Graph Mining|High Performance Computing|Systems Biology,Nagiza Samatova,https://scholar.google.com/citations?view_op=medium_photo&user=vukA8JAAAAAJ,2906,39,25,94,60,0,1
30484,"Professor of Computer Science, Siemens AG, Technische Universität München",@siemens.com,6138,9ulZrB8AAAAJ,{'indices'},Data Mining|Machine Learning|Computational Intelligence|Analytics,Thomas Runkler,https://scholar.google.com/citations?view_op=medium_photo&user=9ulZrB8AAAAJ,1836,32,21,75,37,0,1
30485,"Associate Professor of Computer Science, Brigham Young University",@cs.byu.edu,6127,jHWj2yYAAAAJ,{'indices'},Data mining|Machine learning|Computational health science|Metalearning,Christophe Giraud-Carrier,https://scholar.google.com/citations?view_op=medium_photo&user=jHWj2yYAAAAJ,3012,36,26,81,47,0,1
30486,IBM Research Brasil,@br.ibm.com,6073,lSyUzLEAAAAJ,{'indices'},machine learning|data mining,Bianca Zadrozny,https://scholar.google.com/citations?view_op=medium_photo&user=lSyUzLEAAAAJ,3036,27,19,41,27,0,1
30487,,,6065,z0C-DMMAAAAJ,{'indices'},Data mining|information systems|database systems,Xue Li,https://scholar.google.com/citations?view_op=medium_photo&user=z0C-DMMAAAAJ,3673,42,33,123,93,0,1
30488,"Assistant Professor, Northeastern University",@ccs.neu.edu,6049,KTzRHmwAAAAJ,{'indices'},natural language processing|machine learning|data mining|health informatics|evidence-based medicine,Byron Wallace,https://scholar.google.com/citations?view_op=medium_photo&user=KTzRHmwAAAAJ,5158,39,36,67,61,0,1
30489,Co-founder Fluxicon,@tue.nl,6033,ZJ0SJusAAAAJ,{'indices'},Process Mining|Process Analysis|Data Mining|Business Process Simulation,Anne Rozinat,https://scholar.google.com/citations?view_op=medium_photo&user=ZJ0SJusAAAAJ,2646,29,21,40,29,0,1
30490,"Associate Professor of Computer Science, Oregon State University",@eecs.oregonstate.edu,6021,qgx43AEAAAAJ,{'indices'},Data Mining|Machine Learning|Artificial Intelligence|Anomaly Detection|Ecosystem Informatics,Weng-Keen Wong,https://scholar.google.com/citations?view_op=medium_photo&user=qgx43AEAAAAJ,3379,37,25,68,54,0,1
30491,IFISC - CSIC,@ifisc.uib-csic.es,6018,NrcrF-cAAAAJ,{'indices'},Complex networks|data mining|unconventional computation,Massimiliano Zanin,https://scholar.google.com/citations?view_op=medium_photo&user=NrcrF-cAAAAJ,4668,27,24,60,48,0,1
30492,Professor of Statistics and Operations Research,@fi.upm.es,6017,zwSj1n8AAAAJ,{'indices'},Artificial Intelligence|Machine Learning|Bayesian networks|Data Mining|Neuroscience,Concha Bielza,https://scholar.google.com/citations?view_op=medium_photo&user=zwSj1n8AAAAJ,3415,36,26,105,69,0,1
30493,"Associate Professor, Department of Computer Science, University of New Mexico",@cs.unm.edu,5987,OImDWloAAAAJ,{'indices'},Data Mining|Time Series|Artificial Intelligence,Abdullah Mueen,https://scholar.google.com/citations?view_op=medium_photo&user=OImDWloAAAAJ,4766,31,29,48,43,0,1
30494,"Professor of Computer Science, University of Regina",@cs.uregina.ca,5976,S8kGH3cAAAAJ,{'indices'},Knowledge discovery|data mining|computer animation|computer games|temporal representation and reasoning,Howard J Hamilton,https://scholar.google.com/citations?view_op=medium_photo&user=S8kGH3cAAAAJ,1660,32,16,72,22,0,1
