,author_1,author_2
82292,DVftIaYAAAAJ,iopnWAMAAAAJ
82293,DVftIaYAAAAJ,_GIh1nkAAAAJ
82294,DVftIaYAAAAJ,qco29zUAAAAJ
82295,DVftIaYAAAAJ,Mne_iRgAAAAJ
82296,DVftIaYAAAAJ,ZfxRzVUAAAAJ
82297,DVftIaYAAAAJ,-bIc5H0AAAAJ
82298,DVftIaYAAAAJ,uNSng0gAAAAJ
82299,DVftIaYAAAAJ,QxGaaZcAAAAJ
82300,DVftIaYAAAAJ,HVSPtygAAAAJ
82301,DVftIaYAAAAJ,OhlusqQAAAAJ
82302,DVftIaYAAAAJ,vRbGIC0AAAAJ
82303,DVftIaYAAAAJ,7kDEN7kAAAAJ
82304,DVftIaYAAAAJ,eMs1ptMAAAAJ
82305,DVftIaYAAAAJ,s8uWbP8AAAAJ
82306,lc5qpkUAAAAJ,sYKGMBYAAAAJ
82307,lc5qpkUAAAAJ,KZIbvHYAAAAJ
82308,lc5qpkUAAAAJ,Kk1JhPwAAAAJ
82309,lc5qpkUAAAAJ,g-xkAyoAAAAJ
82310,lc5qpkUAAAAJ,dayoRvwAAAAJ
82311,lc5qpkUAAAAJ,vP85Jo8AAAAJ
82312,lc5qpkUAAAAJ,uDKxZM8AAAAJ
82313,lc5qpkUAAAAJ,8-momg0AAAAJ
82314,lc5qpkUAAAAJ,4fYdo1MAAAAJ
82315,lc5qpkUAAAAJ,YvEG5k0AAAAJ
82316,lc5qpkUAAAAJ,BsT9YOAAAAAJ
82317,lc5qpkUAAAAJ,Faa9J1wAAAAJ
82318,lc5qpkUAAAAJ,fXdzNyIAAAAJ
82319,lc5qpkUAAAAJ,QhyMGRUAAAAJ
